,Customer Drawing No.,,,,,,Rev. ,Title of Description,,,,,,,,,,,,,,,Class,Drawing No.,,path,TRANSMITTALNO,ISSUEPURPOSE,RETUREDATE,ISSUEDATE,CTCIDOCNO,DOCVERSIONDESC,DOCREV,DOCCLASS,TRDESC,CLIENTDOCNO,LE,DOCDOCCLASS
0,TC1-1-TMM02-D9027,,,,,,A,Compressed Air Tank Outline Drawing for Sand Blasting Room Package,,,,,,,,,,,,,,,A,M0007-9027,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0296,TPC-TC(C0)-CD-22-0296,IFA,2022/05/19,2022/04/19,M0007-9027,Compressed Air Tank Outline Drawing for Sand Blasting Room Package,,A,"Outline Drawing of Compressed Air Tank,Dust Collector,Exhaust Blower,Bucket Elevator,Abrasive Storage Tank,Sandblasting Machine,Breathing Air Compressor,Refrigerant Air Dryer,Sliding Roof,Belt Conveyor",TC1-1-TMM02-D9027,張銘洋  Ext.:24270,R
1,TC1-1-TMM02-D9028,,,,,,A,Dust Collector Outline Drawing for Sand Blasting Room Package,,,,,,,,,,,,,,,A,M0007-9028,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0296,TPC-TC(C0)-CD-22-0296,IFA,2022/05/19,2022/04/19,M0007-9028,Dust Collector Outline Drawing for Sand Blasting Room Package,,A,"Outline Drawing of Compressed Air Tank,Dust Collector,Exhaust Blower,Bucket Elevator,Abrasive Storage Tank,Sandblasting Machine,Breathing Air Compressor,Refrigerant Air Dryer,Sliding Roof,Belt Conveyor",TC1-1-TMM02-D9028,張銘洋  Ext.:24270,R
2,TC1-1-TMM02-D9029,,,,,,A,Exhaust Blower Outline Drawing for Sand Blasting Room Package,,,,,,,,,,,,,,,A,M0007-9029,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0296,TPC-TC(C0)-CD-22-0296,IFA,2022/05/19,2022/04/19,M0007-9029,Exhaust Blower Outline Drawing for Sand Blasting Room Package,,A,"Outline Drawing of Compressed Air Tank,Dust Collector,Exhaust Blower,Bucket Elevator,Abrasive Storage Tank,Sandblasting Machine,Breathing Air Compressor,Refrigerant Air Dryer,Sliding Roof,Belt Conveyor",TC1-1-TMM02-D9029,張銘洋  Ext.:24270,R
3,TC1-1-TMM02-D9030,,,,,,A,Bucket Elevator Outline Drawing for Sand Blasting Room Package,,,,,,,,,,,,,,,A,M0007-9030,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0296,TPC-TC(C0)-CD-22-0296,IFA,2022/05/19,2022/04/19,M0007-9030,Bucket Elevator Outline Drawing for Sand Blasting Room Package,,A,"Outline Drawing of Compressed Air Tank,Dust Collector,Exhaust Blower,Bucket Elevator,Abrasive Storage Tank,Sandblasting Machine,Breathing Air Compressor,Refrigerant Air Dryer,Sliding Roof,Belt Conveyor",TC1-1-TMM02-D9030,張銘洋  Ext.:24270,R
4,TC1-1-TMM02-D9031,,,,,,A,Abrasive Storage Tank Outline Drawing for Sand Blasting Room Package,,,,,,,,,,,,,,,A,M0007-9031,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0296,TPC-TC(C0)-CD-22-0296,IFA,2022/05/19,2022/04/19,M0007-9031,Abrasive Storage Tank Outline Drawing for Sand Blasting Room Package,,A,"Outline Drawing of Compressed Air Tank,Dust Collector,Exhaust Blower,Bucket Elevator,Abrasive Storage Tank,Sandblasting Machine,Breathing Air Compressor,Refrigerant Air Dryer,Sliding Roof,Belt Conveyor",TC1-1-TMM02-D9031,張銘洋  Ext.:24270,R
5,TC1-1-TMM02-D9032,,,,,,A,Sandblasting Machine Outline Drawing for Sand Blasting Room Package,,,,,,,,,,,,,,,A,M0007-9032,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0296,TPC-TC(C0)-CD-22-0296,IFA,2022/05/19,2022/04/19,M0007-9032,Sandblasting Machine Outline Drawing for Sand Blasting Room Package,,A,"Outline Drawing of Compressed Air Tank,Dust Collector,Exhaust Blower,Bucket Elevator,Abrasive Storage Tank,Sandblasting Machine,Breathing Air Compressor,Refrigerant Air Dryer,Sliding Roof,Belt Conveyor",TC1-1-TMM02-D9032,張銘洋  Ext.:24270,R
6,TC1-1-TMM02-D9033,,,,,,A,Breathing Air Compressor Outline Drawing for Sand Blasting Room Package,,,,,,,,,,,,,,,A,M0007-9033,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0296,TPC-TC(C0)-CD-22-0296,IFA,2022/05/19,2022/04/19,M0007-9033,Breathing Air Compressor Outline Drawing for Sand Blasting Room Package,,A,"Outline Drawing of Compressed Air Tank,Dust Collector,Exhaust Blower,Bucket Elevator,Abrasive Storage Tank,Sandblasting Machine,Breathing Air Compressor,Refrigerant Air Dryer,Sliding Roof,Belt Conveyor",TC1-1-TMM02-D9033,張銘洋  Ext.:24270,R
7,TC1-1-TMM02-D9034,,,,,,A,Refrigerant Air Dryer Outline Drawing for Sand Blasting Room Package,,,,,,,,,,,,,,,A,M0007-9034,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0296,TPC-TC(C0)-CD-22-0296,IFA,2022/05/19,2022/04/19,M0007-9034,Refrigerant Air Dryer Outline Drawing for Sand Blasting Room Package,,A,"Outline Drawing of Compressed Air Tank,Dust Collector,Exhaust Blower,Bucket Elevator,Abrasive Storage Tank,Sandblasting Machine,Breathing Air Compressor,Refrigerant Air Dryer,Sliding Roof,Belt Conveyor",TC1-1-TMM02-D9034,張銘洋  Ext.:24270,R
8,TC1-1-TMM02-D9035,,,,,,A,Sliding Roof Outline Drawing for Sand Blasting Room Package,,,,,,,,,,,,,,,A,M0007-9035,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0296,TPC-TC(C0)-CD-22-0296,IFA,2022/05/19,2022/04/19,M0007-9035,Sliding Roof Outline Drawing for Sand Blasting Room Package,,A,"Outline Drawing of Compressed Air Tank,Dust Collector,Exhaust Blower,Bucket Elevator,Abrasive Storage Tank,Sandblasting Machine,Breathing Air Compressor,Refrigerant Air Dryer,Sliding Roof,Belt Conveyor",TC1-1-TMM02-D9035,張銘洋  Ext.:24270,R
9,TC1-1-TMM02-D9036,,,,,,A,Belt Conveyor Outline Drawing for Sand Blasting Room Package,,,,,,,,,,,,,,,A,M0007-9036,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0296,TPC-TC(C0)-CD-22-0296,IFA,2022/05/19,2022/04/19,M0007-9036,Belt Conveyor Outline Drawing for Sand Blasting Room Package,,A,"Outline Drawing of Compressed Air Tank,Dust Collector,Exhaust Blower,Bucket Elevator,Abrasive Storage Tank,Sandblasting Machine,Breathing Air Compressor,Refrigerant Air Dryer,Sliding Roof,Belt Conveyor",TC1-1-TMM02-D9036,張銘洋  Ext.:24270,R
