,Customer Drawing No.,,,,,,Rev. ,Title of Description,,,,,,,,,,,,,,,Class,Drawing No.,,path,TRANSMITTALNO,ISSUEPURPOSE,PLANNEDCLIENTRETURNDATE,ISSUEDATE,DOCVERSIONNO,DOCVERSIONDESC,DOCREV,DOCCLASS,TRDESC,CLIENTDOCNO,LE,ISSNO,DOCDOCCLASS
0,TC0-1-ENE02-D5276,,,,,,A,LIGHTNING PROTECTION LAYOUT FOR NATURAL GAS STATION (1/2),,,,,,,,,,,,,,,A,XK51A-0NGSL-001,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-1600,TPC-TC(C0)-CD-22-1600,IFA,2022/12/02,2022/11/02,XK51A-0NGSL-001,LIGHTNING PROTECTION LAYOUT FOR NATURAL GAS STATION (1/2),A,A,LIGHTNING PROTECTION LAYOUT FOR NATURAL GAS STATION,TC0-1-ENE02-D5276,程正維  Ext.:28057,EE-0422,A
1,TC0-1-ENE02-D5277,,,,,,A,LIGHTNING PROTECTION LAYOUT FOR NATURAL GAS STATION (2/2),,,,,,,,,,,,,,,A,XK51A-0NGSL-002,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-1600,TPC-TC(C0)-CD-22-1600,IFA,2022/12/02,2022/11/02,XK51A-0NGSL-002,LIGHTNING PROTECTION LAYOUT FOR NATURAL GAS STATION (2/2),A,A,LIGHTNING PROTECTION LAYOUT FOR NATURAL GAS STATION,TC0-1-ENE02-D5277,程正維  Ext.:28057,EE-0422,A
2,TC0-1-ENE02-D5278,,,,,,A,LIGHTNING PROTECTION LAYOUT FOR NATURAL GAS STATION ELEVATION (1/2),,,,,,,,,,,,,,,A,XK51A-0NGSL-003,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-1600,TPC-TC(C0)-CD-22-1600,IFA,2022/12/02,2022/11/02,XK51A-0NGSL-003,LIGHTNING PROTECTION LAYOUT FOR NATURAL GAS STATION ELEVATION (1/2),A,A,LIGHTNING PROTECTION LAYOUT FOR NATURAL GAS STATION,TC0-1-ENE02-D5278,程正維  Ext.:28057,EE-0422,A
3,TC0-1-ENE02-D5279,,,,,,A,LIGHTNING PROTECTION LAYOUT FOR NATURAL GAS STATION ELEVATION (2/2),,,,,,,,,,,,,,,A,XK51A-0NGSL-004,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-1600,TPC-TC(C0)-CD-22-1600,IFA,2022/12/02,2022/11/02,XK51A-0NGSL-004,LIGHTNING PROTECTION LAYOUT FOR NATURAL GAS STATION ELEVATION (2/2),A,A,LIGHTNING PROTECTION LAYOUT FOR NATURAL GAS STATION,TC0-1-ENE02-D5279,程正維  Ext.:28057,EE-0422,A
