,Customer Drawing No.,,,,,,Rev. ,Title of Description,,,,,,,,,,,,,,,Class,Drawing No.,,path,TRANSMITTALNO,ISSUEPURPOSE,PLANNEDCLIENTRETURNDATE,ISSUEDATE,DOCVERSIONNO,DOCVERSIONDESC,DOCREV,DOCCLASS,TRDESC,CLIENTDOCNO,LE,ISSNO,DOCDOCCLASS
0,TC0-1-EHE02-D5506,,,,,,C,ELECTRICAL EQUIPMENT  LAYOUT-SEAWATER ELECTROLYSIS HOUSE (1/3),,,,,,,,,,,,,,,A,XK31A-0CWP0-001,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0620,TPC-TC(C0)-CD-22-0620,IFA,2022/08/08,2022/07/08,XK31A-0CWP0-001,ELECTRICAL EQUIPMENT  LAYOUT-SEAWATER ELECTROLYSIS HOUSE (1/3),C,A,Electrical Equipment layout,TC0-1-EHE02-D5506,程正維  Ext.:28057,EE-0196,A
1,TC0-1-EHE02-D5101,,,,,,C,ELECTRICAL EQUIPMENT  LAYOUT-DEMIN. WATER TREATMENT PLANT (1/2),,,,,,,,,,,,,,,A,XK31A-0DWT0-001,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0620,TPC-TC(C0)-CD-22-0620,IFA,2022/08/08,2022/07/08,XK31A-0DWT0-001,ELECTRICAL EQUIPMENT  LAYOUT-DEMIN. WATER TREATMENT PLANT (1/2),C,A,Electrical Equipment layout,TC0-1-EHE02-D5101,程正維  Ext.:28057,EE-0196,A
2,TC0-1-EHE02-D5102,,,,,,C,ELECTRICAL EQUIPMENT  LAYOUT-DEMIN. WATER TREATMENT PLANT (2/2),,,,,,,,,,,,,,,A,XK31A-0DWT0-002,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0620,TPC-TC(C0)-CD-22-0620,IFA,2022/08/08,2022/07/08,XK31A-0DWT0-002,ELECTRICAL EQUIPMENT  LAYOUT-DEMIN. WATER TREATMENT PLANT (2/2),C,A,Electrical Equipment layout,TC0-1-EHE02-D5102,程正維  Ext.:28057,EE-0196,A
3,TC0-1-EHE02-D5301,,,,,,C,ELECTRICAL EQUIPMENT  LAYOUT-EDG BLDG. (1/2),,,,,,,,,,,,,,,A,XK31A-0EDG0-001,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0620,TPC-TC(C0)-CD-22-0620,IFA,2022/08/08,2022/07/08,XK31A-0EDG0-001,ELECTRICAL EQUIPMENT  LAYOUT-EDG BLDG. (1/2),C,A,Electrical Equipment layout,TC0-1-EHE02-D5301,程正維  Ext.:28057,EE-0196,A
4,TC0-1-EHE02-D5302,,,,,,C,ELECTRICAL EQUIPMENT  LAYOUT-EDG BLDG. (2/2),,,,,,,,,,,,,,,A,XK31A-0EDG0-002,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0620,TPC-TC(C0)-CD-22-0620,IFA,2022/08/08,2022/07/08,XK31A-0EDG0-002,ELECTRICAL EQUIPMENT  LAYOUT-EDG BLDG. (2/2),C,A,Electrical Equipment layout,TC0-1-EHE02-D5302,程正維  Ext.:28057,EE-0196,A
5,TC0-1-EHE02-D5492,,,,,,C,ELECTRICAL EQUIPMENT  LAYOUT-RAW WATER & FIRE WATER PUMP HOUSE,,,,,,,,,,,,,,,A,XK31A-0FWP0-002,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0620,TPC-TC(C0)-CD-22-0620,IFA,2022/08/08,2022/07/08,XK31A-0FWP0-002,ELECTRICAL EQUIPMENT  LAYOUT-RAW WATER & FIRE WATER PUMP HOUSE,C,A,Electrical Equipment layout,TC0-1-EHE02-D5492,程正維  Ext.:28057,EE-0196,A
6,TC0-1-EHE02-D5806,,,,,,C,ELECTRICAL EQUIPMENT  LAYOUT-GAS TURBINE MAINTENANCE SHOP,,,,,,,,,,,,,,,A,XK31A-0GTM0-001,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0620,TPC-TC(C0)-CD-22-0620,IFA,2022/08/08,2022/07/08,XK31A-0GTM0-001,ELECTRICAL EQUIPMENT  LAYOUT-GAS TURBINE MAINTENANCE SHOP,C,A,Electrical Equipment layout,TC0-1-EHE02-D5806,程正維  Ext.:28057,EE-0196,A
7,TC0-1-EHE02-D5201,,,,,,C,ELECTRICAL EQUIPMENT  LAYOUT-HEAVY PARTS WAREHOUSE,,,,,,,,,,,,,,,A,XK31A-0HPW0-001,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0620,TPC-TC(C0)-CD-22-0620,IFA,2022/08/08,2022/07/08,XK31A-0HPW0-001,ELECTRICAL EQUIPMENT  LAYOUT-HEAVY PARTS WAREHOUSE,C,A,Electrical Equipment layout,TC0-1-EHE02-D5201,程正維  Ext.:28057,EE-0196,A
8,TC0-1-EHE02-D5306,,,,,,C,ELECTRICAL EQUIPMENT  LAYOUT-HRSG BUILDING UNIT#1,,,,,,,,,,,,,,,A,XK31A-0HRS0-001,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0620,TPC-TC(C0)-CD-22-0620,IFA,2022/08/08,2022/07/08,XK31A-0HRS0-001,ELECTRICAL EQUIPMENT  LAYOUT-HRSG BUILDING UNIT#1,C,A,Electrical Equipment layout,TC0-1-EHE02-D5306,程正維  Ext.:28057,EE-0196,A
9,TC0-1-EHE02-D5401,,,,,,C,ELECTRICAL EQUIPMENT  LAYOUT-MAIN CONTROL BLDG. (1/2),,,,,,,,,,,,,,,A,XK31A-0MCB0-001,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0620,TPC-TC(C0)-CD-22-0620,IFA,2022/08/08,2022/07/08,XK31A-0MCB0-001,ELECTRICAL EQUIPMENT  LAYOUT-MAIN CONTROL BLDG. (1/2),C,A,Electrical Equipment layout,TC0-1-EHE02-D5401,程正維  Ext.:28057,EE-0196,A
