,Customer Drawing No.,,,,,,Rev. ,Title of Description,,,,,,,,,,,,,,,Class,Drawing No.,,path,TRANSMITTALNO,ISSUEPURPOSE,PLANNEDCLIENTRETURNDATE,ISSUEDATE,DOCVERSIONNO,DOCVERSIONDESC,DOCREV,DOCCLASS,TRDESC,CLIENTDOCNO,LE,ISSNO,DOCDOCCLASS
0,TC0-1-CSC02-D3102,,,,,,B,PIPE RACK PR-3101 FOUNDATION PLAN,,,,,,,,,,,,,,,A,XF38A-310R-002,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-1414,TPC-TC(C0)-CD-22-1414,IFA,2022/11/18,2022/10/19,XF38A-310R-002,PIPE RACK PR-3101 FOUNDATION PLAN,B,A,Pipe Rack PR-3101 - Structure_RB,TC0-1-CSC02-D3102,陳博仁  Ext.:23341,CB-0468,A
1,TC0-1-CSC02-D3103,,,,,,B,PIPE RACK PR-3101 FOUNDATION SECTION AND DETAILS (1),,,,,,,,,,,,,,,A,XF38A-310R-003,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-1414,TPC-TC(C0)-CD-22-1414,IFA,2022/11/18,2022/10/19,XF38A-310R-003,PIPE RACK PR-3101 FOUNDATION SECTION AND DETAILS (1),B,A,Pipe Rack PR-3101 - Structure_RB,TC0-1-CSC02-D3103,陳博仁  Ext.:23341,CB-0468,A
2,TC0-1-CSC02-D3104,,,,,,B,PIPE RACK PR-3101 FOUNDATION SECTION AND DETAILS (2),,,,,,,,,,,,,,,A,XF38A-310R-004,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-1414,TPC-TC(C0)-CD-22-1414,IFA,2022/11/18,2022/10/19,XF38A-310R-004,PIPE RACK PR-3101 FOUNDATION SECTION AND DETAILS (2),B,A,Pipe Rack PR-3101 - Structure_RB,TC0-1-CSC02-D3104,陳博仁  Ext.:23341,CB-0468,A
3,TC0-1-SSC02-D3101,,,,,,B,PIPE RACK PR-3101 PLAN (1),,,,,,,,,,,,,,,A,XF41A-310R-001,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-1414,TPC-TC(C0)-CD-22-1414,IFA,2022/11/18,2022/10/19,XF41A-310R-001,PIPE RACK PR-3101 PLAN (1),B,A,Pipe Rack PR-3101 - Structure_RB,TC0-1-SSC02-D3101,陳博仁  Ext.:23341,CB-0468,A
4,TC0-1-SSC02-C3101,,,,,,B,CALCULATION SHEET FOR PIPE RACK PR-3101,,,,,,,,,,,,,,,A,XF41A-310R-001C,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-1414,TPC-TC(C0)-CD-22-1414,IFA,2022/11/18,2022/10/19,XF41A-310R-001C,CALCULATION SHEET FOR PIPE RACK PR-3101,B,A,Pipe Rack PR-3101 - Structure_RB,TC0-1-SSC02-C3101,陳博仁  Ext.:23341,CB-0468,A
5,TC0-1-SSC02-D3102,,,,,,B,PIPE RACK PR-3101 PLAN (2),,,,,,,,,,,,,,,A,XF41A-310R-002,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-1414,TPC-TC(C0)-CD-22-1414,IFA,2022/11/18,2022/10/19,XF41A-310R-002,PIPE RACK PR-3101 PLAN (2),B,A,Pipe Rack PR-3101 - Structure_RB,TC0-1-SSC02-D3102,陳博仁  Ext.:23341,CB-0468,A
6,TC0-1-SSC02-D3103,,,,,,B,PIPE RACK PR-3101 PLAN (3),,,,,,,,,,,,,,,A,XF41A-310R-003,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-1414,TPC-TC(C0)-CD-22-1414,IFA,2022/11/18,2022/10/19,XF41A-310R-003,PIPE RACK PR-3101 PLAN (3),B,A,Pipe Rack PR-3101 - Structure_RB,TC0-1-SSC02-D3103,陳博仁  Ext.:23341,CB-0468,A
7,TC0-1-SSC02-D3104,,,,,,B,PIPE RACK PR-3101 ELEVATION (1),,,,,,,,,,,,,,,A,XF41A-310R-004,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-1414,TPC-TC(C0)-CD-22-1414,IFA,2022/11/18,2022/10/19,XF41A-310R-004,PIPE RACK PR-3101 ELEVATION (1),B,A,Pipe Rack PR-3101 - Structure_RB,TC0-1-SSC02-D3104,陳博仁  Ext.:23341,CB-0468,A
8,TC0-1-SSC02-D3105,,,,,,B,PIPE RACK PR-3101 ELEVATION (2),,,,,,,,,,,,,,,A,XF41A-310R-005,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-1414,TPC-TC(C0)-CD-22-1414,IFA,2022/11/18,2022/10/19,XF41A-310R-005,PIPE RACK PR-3101 ELEVATION (2),B,A,Pipe Rack PR-3101 - Structure_RB,TC0-1-SSC02-D3105,陳博仁  Ext.:23341,CB-0468,A
9,TC0-1-SSC02-D3106,,,,,,B,PIPE RACK PR-3101 ELEVATION (3),,,,,,,,,,,,,,,A,XF41A-310R-006,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-1414,TPC-TC(C0)-CD-22-1414,IFA,2022/11/18,2022/10/19,XF41A-310R-006,PIPE RACK PR-3101 ELEVATION (3),B,A,Pipe Rack PR-3101 - Structure_RB,TC0-1-SSC02-D3106,陳博仁  Ext.:23341,CB-0468,A
10,TC0-1-SSC02-D3107,,,,,,B,PIPE RACK PR-3101 ELEVATION (4),,,,,,,,,,,,,,,A,XF41A-310R-007,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-1414,TPC-TC(C0)-CD-22-1414,IFA,2022/11/18,2022/10/19,XF41A-310R-007,PIPE RACK PR-3101 ELEVATION (4),B,A,Pipe Rack PR-3101 - Structure_RB,TC0-1-SSC02-D3107,陳博仁  Ext.:23341,CB-0468,A
11,TC0-1-SSC02-D3108,,,,,,B,PIPE RACK PR-3101 SECTION AND DETAILS (1),,,,,,,,,,,,,,,A,XF41A-310R-008,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-1414,TPC-TC(C0)-CD-22-1414,IFA,2022/11/18,2022/10/19,XF41A-310R-008,PIPE RACK PR-3101 SECTION AND DETAILS (1),B,A,Pipe Rack PR-3101 - Structure_RB,TC0-1-SSC02-D3108,陳博仁  Ext.:23341,CB-0468,A
